,Accuracy,N_1,N_2
0,0.6199008338967771,5,5
1,0.621090662752625,5,10
2,0.625312287076993,5,20
3,0.6484199313528228,5,90
4,0.6854999336077546,5,270
5,0.6172518911595348,10,5
6,0.6246471717285763,10,10
7,0.6316715875539405,10,20
8,0.6545745058586815,10,90
9,0.6951268091886869,10,270
10,0.6221326368385193,20,5
11,0.631501249148308,20,10
12,0.6326936179877357,20,20
13,0.6567049354953248,20,90
14,0.6928694728455715,20,270
15,0.6283583856077641,90,5
16,0.6325008876790152,90,10
17,0.64321221446325,90,20
18,0.6657000828500415,90,90
19,0.6933342185632718,90,270
20,0.6804541229584384,270,5
21,0.6804541229584384,270,10
22,0.6894170760855132,270,20
23,0.6955915549063869,270,90
24,0.6976497145133448,270,270
